16:55:26.004047866 : vetrnik/cmnd/power_board/duty 255
16:55:26.005820578 : vetrnik/tele/control/contactor 4
16:55:26.501601879 : vetrnik/tele/power_board/time 1246
16:55:26.501835359 : vetrnik/tele/stats/energy_Ws 290
16:55:27.001991004 : vetrnik/cmnd/control/contactor 1
16:55:27.002224687 : vetrnik/tele/stats/energy_Ws 294
16:55:27.003930269 : vetrnik/cmnd/power_board/duty 255
16:55:27.004081528 : vetrnik/tele/control/contactor 5
16:55:27.006124256 : vetrnik/tele/control/contactor 4
16:55:27.502251185 : vetrnik/tele/power_board/time 1247
16:55:27.502425072 : vetrnik/tele/stats/energy_Ws 298
16:55:28.001991795 : vetrnik/tele/stats/energy_Ws 302
16:55:28.003056399 : vetrnik/cmnd/control/contactor 1
16:55:28.005170442 : vetrnik/tele/control/contactor 5
16:55:28.005712586 : vetrnik/tele/control/contactor 4
16:55:28.006458063 : vetrnik/cmnd/power_board/duty 255
16:55:28.501647183 : vetrnik/tele/power_board/time 1248
16:55:28.501852756 : vetrnik/tele/stats/energy_Ws 306
16:55:29.002442897 : vetrnik/tele/stats/energy_Ws 310
16:55:29.003350133 : vetrnik/cmnd/control/contactor 1
16:55:29.005309694 : vetrnik/tele/control/contactor 5
16:55:29.005718525 : vetrnik/tele/control/contactor 4
16:55:29.006455224 : vetrnik/cmnd/power_board/duty 255
16:55:29.502221526 : vetrnik/tele/power_board/time 1249
16:55:29.502395043 : vetrnik/tele/stats/energy_Ws 314
16:55:30.001756951 : vetrnik/tele/stats/energy_Ws 318
16:55:30.002802278 : vetrnik/cmnd/control/contactor 1
16:55:30.004628452 : vetrnik/tele/control/contactor 5
16:55:30.005575909 : vetrnik/cmnd/power_board/duty 255
16:55:30.005749519 : vetrnik/tele/control/contactor 4
16:55:30.502970922 : vetrnik/tele/power_board/time 1250
16:55:30.503162218 : vetrnik/tele/stats/energy_Ws 322
16:55:31.002141980 : vetrnik/tele/stats/energy_Ws 326
